PT,n
DEATH,1437
DIARRHOEA,1338
OFF LABEL USE,1266
NAUSEA,1060
MALIGNANT NEOPLASM PROGRESSION,1048
VOMITING,946
DECREASED APPETITE,795
NEUTROPENIA,710
ANAEMIA,697
DISEASE PROGRESSION,635
FATIGUE,586
PYREXIA,581
FEBRILE NEUTROPENIA,579
ASTHENIA,530
THROMBOCYTOPENIA,483
MALAISE,416
DYSPNOEA,404
PNEUMONIA,396
PLATELET COUNT DECREASED,396
INTERSTITIAL LUNG DISEASE,393
ABDOMINAL PAIN,390
DEHYDRATION,382
NEUROPATHY PERIPHERAL,364
MYELOSUPPRESSION,356
NEUTROPHIL COUNT DECREASED,350
WHITE BLOOD CELL COUNT DECREASED,348
LEUKOPENIA,341
ASCITES,315
PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,302
PRODUCT USE IN UNAPPROVED INDICATION,290
GASTRIC CANCER,289
STOMATITIS,279
GENERAL PHYSICAL HEALTH DETERIORATION,274
SEPSIS,261
WEIGHT DECREASED,255
HEPATIC FUNCTION ABNORMAL,241
INTENTIONAL PRODUCT USE ISSUE,231
PULMONARY EMBOLISM,229
MUCOSAL INFLAMMATION,225
BONE MARROW FAILURE,215
RASH,213
CONSTIPATION,211
DRUG INEFFECTIVE,199
HAEMOGLOBIN DECREASED,193
DISSEMINATED INTRAVASCULAR COAGULATION,192
PAIN,189
SEPTIC SHOCK,187
NEUROTOXICITY,175
DIZZINESS,173
RENAL IMPAIRMENT,173
INTESTINAL OBSTRUCTION,169
ALOPECIA,166
HYPOTENSION,165
ABDOMINAL PAIN UPPER,159
PLEURAL EFFUSION,154
GASTROINTESTINAL HAEMORRHAGE,153
RENAL FAILURE,152
HYPOKALAEMIA,149
PRURITUS,144
CHILLS,142
ACUTE KIDNEY INJURY,142
OEDEMA PERIPHERAL,136
FULMINANT TYPE 1 DIABETES MELLITUS,135
CHEST PAIN,134
DYSPHAGIA,134
ERYTHEMA,133
HYPERTENSION,133
GASTRIC PERFORATION,132
ASPARTATE AMINOTRANSFERASE INCREASED,128
